Unibet_ID,Unibet_URL,Unibet_Name,Fotmob_URL,Fotmob_Name,Match_Type,Country/Region
1000095048,https://www.unibet.com.au/betting/sports/filter/football/slovakia/super_liga,Super Liga,https://www.fotmob.com/leagues/182,Super Liga,Exact Match,Slovakia
2000051123,https://www.unibet.com.au/betting/sports/filter/football/spain/copa_de_la_reina__w_,Copa de la Reina (W),https://www.fotmob.com/leagues/10651,Copa de la Reina,Different Name,Spain
2000075204,https://www.unibet.com.au/betting/sports/filter/football/sweden/elitettan__w_,Elitettan (W),https://www.fotmob.com/leagues/10308,Eliteettan (W),Different Name,Sweden
1000094744,https://www.unibet.com.au/betting/sports/filter/football/sweden/ettan_norra,Ettan Norra,https://www.fotmob.com/leagues/169,Ettan,Different Name,Sweden
1000094745,https://www.unibet.com.au/betting/sports/filter/football/sweden/ettan_sodra,Ettan Södra,https://www.fotmob.com/leagues/169,Ettan,Different Name,Sweden
1000176396,https://www.unibet.com.au/betting/sports/filter/football/sweden/obos_damallsvenskan__w_,OBOS Damallsvenskan (W),https://www.fotmob.com/leagues/9089,Damallsvenskan (W),Different Name,Sweden
1000095021,https://www.unibet.com.au/betting/sports/filter/football/switzerland/challenge_league,Challenge League,https://www.fotmob.com/leagues/163,Challenge League,Exact Match,Switzerland
2000076226,https://www.unibet.com.au/betting/sports/filter/football/thailand/thai_league_2,Thai League 2,https://www.fotmob.com/leagues/9498,Thai League 2,Exact Match,Thailand
1000093570,https://www.unibet.com.au/betting/sports/filter/football/international_friendly_matches,International Friendly Matches,https://www.fotmob.com/leagues/114/overview/friendlies,Friendlies,Different Name,International
2000065880,https://www.unibet.com.au/betting/sports/filter/football/uefa_championship_qualification_u21,uefa_championship_qualification_u21,https://www.fotmob.com/leagues/10437,euro-u-21-qualification,Different Name,International
2000086369,https://www.unibet.com.au/betting/sports/filter/football/world_cup_qualifying_-_north__central___caribbean,World Cup Qualifying - North, Central & Caribbean,https://www.fotmob.com/leagues/10198,World Cup Qualification CONCACAF,Different Name,International
2000054642,https://www.unibet.com.au/betting/sports/filter/football/england/isthmian_league_premier_division,Isthmian League Premier Division,https://www.fotmob.com/leagues/8947,premier-division,Different Name,England
2000054030,https://www.unibet.com.au/betting/sports/filter/football/england/northern_league_premier_division,Northern League Premier Division,https://www.fotmob.com/leagues/8947,premier-division,Different Name,England
2000052846,https://www.unibet.com.au/betting/sports/filter/football/england/southern_league_premier_division,Southern League Premier Division,https://www.fotmob.com/leagues/8947,premier-division,Different Name,England
2000066138,https://www.unibet.com.au/betting/sports/filter/football/afc_asian_cup_qualification,AFC Asian Cup Qualification,https://www.fotmob.com/leagues/10609,Asian Cup  Qualification Playoff,Different Name,International
1000383729,https://www.unibet.com.au/betting/sports/filter/football/denmark/elitedivisionen__w_,Elitedivisionen (W),https://www.fotmob.com/leagues/256,Kvindeligaen,Different Name,Denmark
2000051466,https://www.unibet.com.au/betting/sports/filter/football/champions_league__w_,Women's Championship,https://www.fotmob.com/leagues/9375,Women's Champions League Qualification,Different Name,International
2010205606,https://www.unibet.com.au/betting/sports/filter/football/uefa_women_s_europa_cup,Europa Cup (W),https://www.fotmob.com/leagues/11129,UEFA Women's Europa Cup,Different Name,International
1000094976,https://www.unibet.com.au/betting/sports/filter/football/denmark/1st_division,1st Division,https://www.fotmob.com/leagues/85,1. Division,Exact Match,Denmark
1000435401,https://www.unibet.com.au/betting/sports/filter/football/germany/bundesliga__w_,Bundesliga (W),https://www.fotmob.com/leagues/9676,Frauen Bundesliga,Exact Match,Germany
1000179126,https://www.unibet.com.au/betting/sports/filter/football/copa_sudamericana,Copa Sudamericana,https://www.fotmob.com/leagues/299,Copa Sudamericana,Exact Match,International
